101,1133,603,109
102,1158,547,165
103,1137,504,208
104,1159,461,251
105,1132,415,297
106,1051,649,63
107,1077,603,109
108,1046,556,156
109,1076,505,207
110,1051,457,255
111,1077,413,299
112,1054,370,342
113,993,648,64
114,970,593,119
115,997,557,155
116,969,501,211
117,997,457,255
118,974,408,304
119,998,366,346
120,917,591,121
121,891,549,163
122,919,498,214
123,891,447,265
124,912,408,304
201,860,329,383
202,884,282,430
203,859,234,478
204,886,184,528
205,855,134,578
206,786,367,345
207,807,323,389
208,775,275,437
209,805,234,478
210,780,180,532
211,798,138,574
212,779,93,619
213,733,371,341
214,707,323,389
215,736,278,434
216,707,229,483
217,738,184,528
218,710,132,580
219,730,89,623
220,655,327,385
221,625,281,431
222,647,235,477
223,612,183,529
224,643,137,575
301,602,593,119
302,631,550,162
303,605,499,213
304,632,452,260
305,605,409,303
306,527,639,73
307,556,592,120
308,533,549,163
309,559,498,214
310,528,448,264
311,552,408,304
312,527,367,345
313,476,639,73
314,451,596,116
315,475,551,161
316,442,499,213
317,471,451,261
318,447,409,303
319,473,367,345
320,397,592,120
321,370,550,162
322,392,501,211
323,367,456,256
324,390,411,301
401,346,324,388
402,372,276,436
403,350,236,476
404,369,187,525
405,344,137,575
406,263,375,337
407,287,325,387
408,264,284,428
409,289,237,475
410,260,186,526
411,289,132,580
412,266,96,616
413,211,373,339
414,186,327,385
415,212,285,427
416,184,239,473
417,206,183,529
418,183,140,572
419,213,97,615
420,135,329,383
421,108,289,423
422,134,239,473
423,109,189,523
424,135,137,575
